Country,Imports [Percent of GDP] 2016,Income per person [GDP per person] 2020,Exports [Percent of GDP] 2016,CO2 emissions [Tonnes per Person] 2014,Energy production [Tonnes of oil equivalent per Person] 2009,Inflation annual [Percent] 2017,Life expectancy [Years] 2018,Babies per woman 2018,Democracy score 2011,Median age [Years] 2020,Military expenditure [Percent of GDP] 2016,Oil production [Tonnes] 2016,Child mortality [0-5 year olds dying per 1000 born] 2018
Afghanistan,49.0,1970.0,6.9,0.299,,4.87,58.7,4.33,,18.6,0.955,,65.9
Albania,45.7,13500.0,28.9,1.96,0.00039,1.37,78.0,1.71,9.0,38.0,1.1,,12.9
Algeria,35.3,13600.0,21.0,3.72,0.00436,6.8,77.9,2.64,2.0,29.1,6.42,68500000.0,23.1
Andorra,,55000.0,,5.83,,0.9,,,,,,,
Angola,29.4,5670.0,30.0,1.29,0.0054399999999999995,31.1,65.2,5.55,-2.0,16.8,2.64,87900000.0,81.6
Antigua and Barbuda,47.0,21300.0,41.7,5.38,,1.56,77.6,2.03,,32.1,,,7.89
Argentina,13.5,19500.0,12.6,4.75,0.00202,25.3,77.0,2.26,8.0,31.9,0.8270000000000001,28800000.0,10.6
Armenia,42.8,9200.0,33.1,1.9,0.00027,2.23,76.0,1.6,5.0,35.7,4.08,,12.9
Australia,21.5,47100.0,19.3,15.4,0.0142,3.7,82.9,1.83,10.0,37.9,2.09,15500000.0,3.4
Austria,48.9,45100.0,52.3,6.8,0.0013599999999999999,1.56,81.8,1.52,10.0,44.4,0.747,,2.89
Azerbaijan,43.6,17000.0,46.4,3.94,0.0071200000000000005,16.0,72.3,2.04,-7.0,32.4,3.69,41000000.0,30.3
Bahamas,37.7,22200.0,35.8,6.32,,1.28,74.1,1.75,,34.3,,,10.3
Bahrain,65.6,44400.0,74.0,23.4,0.015,5.7,77.2,1.99,-8.0,32.4,4.73,,7.1
Bangladesh,21.3,4170.0,16.6,0.45899999999999996,0.00016999999999999999,6.28,73.4,2.05,5.0,27.5,1.38,,32.0
Barbados,46.2,16400.0,36.4,4.49,,4.17,76.8,1.8,,39.8,,,11.5
Belarus,62.7,17800.0,62.5,6.69,0.00042,8.18,73.8,1.72,-7.0,40.3,1.27,,3.72
Belgium,81.6,43600.0,82.9,8.32,0.00144,1.68,81.2,1.8,8.0,41.8,0.925,,3.55
Belize,60.5,7590.0,49.7,1.41,,0.0958,72.5,2.44,,25.0,1.26,,13.8
Benin,42.6,2340.0,28.7,0.614,0.00022999999999999998,0.35700000000000004,65.0,4.84,7.0,18.8,0.91,,94.7
Bhutan,53.1,11500.0,29.7,1.29,,7.55,74.8,1.99,3.0,28.6,,,29.5
Bolivia,31.9,7250.0,24.5,1.93,0.00145,6.06,74.0,2.8,7.0,25.4,1.63,,33.8
Bosnia and Herzegovina,52.3,13000.0,35.4,6.23,0.00119,2.35,77.9,1.39,,42.5,0.963,,5.49
Botswana,42.0,17500.0,55.1,3.24,0.00047000000000000004,3.15,66.9,2.64,8.0,25.8,3.3,,36.6
Brazil,12.1,14600.0,12.5,2.59,0.00119,3.79,75.7,1.7,8.0,33.5,1.35,137000000.0,14.2
Brunei,37.7,85700.0,49.6,22.1,0.0483,4.96,77.4,1.85,,32.4,3.54,5930000.0,9.11
Bulgaria,59.7,20100.0,64.0,5.87,0.0013,1.18,75.3,1.59,9.0,44.7,1.44,,7.55
Burkina Faso,33.5,1840.0,28.5,0.162,,3.44,61.6,5.19,,17.6,1.24,,80.4
Burundi,31.9,664.0,6.24,0.0445,,20.2,61.1,5.53,6.0,17.5,2.24,,69.3
Cambodia,65.7,4230.0,61.3,0.43799999999999994,0.00026000000000000003,3.43,69.3,2.5,2.0,25.6,1.84,,27.0
Cameroon,23.4,3310.0,18.6,0.315,0.00045999999999999996,2.76,61.2,4.57,-4.0,18.8,1.32,,75.7
Canada,33.4,44400.0,31.0,15.1,0.0116,2.27,82.2,1.56,10.0,41.4,1.19,218000000.0,4.82
Cape Verde,59.5,6780.0,38.5,0.9329999999999999,,1.14,74.1,2.27,10.0,25.7,0.629,,20.4
Central African Republic,30.0,735.0,12.7,0.0666,,4.51,51.6,4.72,-1.0,18.3,1.44,,118.0
Chad,39.7,1870.0,28.2,0.0538,,7.26,60.5,5.75,-2.0,16.7,3.23,3850000.0,123.0
Chile,27.3,24100.0,28.2,4.69,0.00055,4.65,80.7,1.76,10.0,35.4,1.94,,7.62
China,17.4,17800.0,19.7,7.4,0.00156,4.05,76.9,1.64,-7.0,38.7,1.93,200000000.0,9.95
Colombia,21.7,14300.0,14.8,1.76,0.00217,4.82,78.6,1.82,7.0,32.2,3.07,48800000.0,14.5
Comoros,43.7,1460.0,15.9,0.203,,0.7759999999999999,68.0,4.2,9.0,20.4,,,71.4
"Congo, Dem. Rep.",32.4,763.0,27.2,0.0634,0.00036,41.7,62.4,5.92,5.0,17.0,0.9490000000000001,,90.0
"Congo, Rep.",79.4,5740.0,57.1,0.635,0.0038799999999999998,14.6,63.9,4.54,-4.0,19.0,7.14,12000000.0,49.7
Costa Rica,32.0,17100.0,32.8,1.63,0.00059,1.98,81.4,1.75,10.0,33.6,,,8.71
Cote d'Ivoire,20.2,4100.0,29.4,0.49,0.00061,1.14,61.2,4.78,,18.7,1.72,,84.2
Croatia,46.2,23800.0,49.0,3.96,0.0009199999999999999,1.17,77.7,1.45,9.0,44.0,1.38,,4.42
Cuba,,21200.0,,3.05,0.00049,,79.3,1.72,-7.0,43.1,,,5.15
Cyprus,65.5,33200.0,64.7,5.26,0.00008,1.52,80.8,1.34,10.0,37.3,1.6,,2.45
Czech Republic,72.1,33700.0,79.5,9.1,0.00299,1.3,79.4,1.57,8.0,43.3,1.0,,
Denmark,47.4,47500.0,53.6,5.91,0.00433,1.56,81.1,1.76,10.0,42.3,1.17,6920000.0,3.86
Djibouti,50.9,3790.0,33.7,0.792,,0.449,67.1,2.73,2.0,25.4,,,63.2
Dominica,54.0,11100.0,48.3,1.86,,0.998,,,,,,,
Dominican Republic,28.9,16500.0,24.9,2.07,0.00018999999999999998,3.67,76.1,2.36,8.0,27.6,0.67,,29.2
Ecuador,19.1,10000.0,19.7,2.76,0.0019199999999999998,1.46,78.3,2.43,5.0,28.1,2.55,29300000.0,19.9
